"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
195,Vanuatu,"12,019",,14                                ,,"11,976",,29,,"37,346",44,"24,976","77,606"
196,Greenland,"11,971",,21                                ,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810"
197,Yemen,"11,945",,"2,159                                ",,"9,124",,662,23,383,69,"329,592","10,579"
198,Caribbean Netherlands,"11,682",,38                                ,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559"
199,Sint Maarten,"11,051",,92                                ,,"10,905",,54,N/A,"251,353","2,093","62,056","1,411,454"
201,Niger,"9,931",,312                                ,,"8,890",,729,1,381,12,"254,538","9,759"
202,St. Vincent Grenadines,"9,631",,124                                ,,"9,493",,14,,"86,337","1,112","114,197","1,023,720"
203,Guinea-Bissau,"9,614",,177                                ,,"8,929",,508,6,"4,659",86,"145,231","70,385"
204,Comoros,"9,109",,161                                ,,"8,939",,9,,"10,038",177,,
205,Antigua and Barbuda,"9,106",,146                                ,,"8,954",,6,1,"91,509","1,467","18,901","189,943"
206,Liberia,"8,090",,295                                ,,"7,783",,12,2,"1,525",56,"139,824","26,356"
207,Sierra Leone,"7,762",,126                                ,,N/A,N/A,N/A,,934,15,"259,958","31,296"
208,Chad,"7,701",,194                                ,,"4,874",,"2,633",,442,11,"191,341","10,988"
209,British Virgin Islands,"7,305",,64                                ,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269"
210,Cook Islands,"7,144",,2                                ,,"7,138",,4,,"406,579",114,"19,690","1,120,596"
211,Turks and Caicos,"6,617",,39                                ,,"6,559",,19,4,"166,503",981,"613,574","15,439,320"
214,Palau,"6,018",,9                                ,,"6,006",,3,,"330,061",494,"69,906","3,834,037"
215,St. Barth,"5,507",,6                                ,,N/A,N/A,N/A,,"553,746",603,"78,646","7,908,095"
216,Nauru,"5,393",,1                                ,,"5,347",,45,,"494,635",92,"20,509","1,881,042"
217,Kiribati,"5,081",,24                                ,,"2,703",,"2,354",3,"41,169",194,,
218,Anguilla,"3,904",,12                                ,,"3,879",,13,4,"256,336",788,"51,382","3,373,736"
219,Wallis and Futuna,"3,550",,8                                ,,438,,"3,104",,"323,256",728,"20,508","1,867,419"
220,Saint Pierre Miquelon,"3,452",,2                                ,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488"
221,Tuvalu,"2,943",,1                                ,,,,"2,942",,"243,909",83,,
222,Saint Helena,"2,166",, ,,2,,"2,164",,"354,211",,,
224,Montserrat,"1,403",,8                                ,,"1,376",,19,,"282,578","1,611","17,762","3,577,442"
225,Niue,821,+1, ,,820,,1,,"506,165",,,
228,Tokelau,23,, ,,,,23,,"16,691",,,
231,China,"503,302",,"5,272                                ",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461"
,Total:,"691,206,292",+464,"6,898,266",0,"663,756,361","+10,672","20,551,665","37,266","88,675.3",885.0,,
